TICKER,P/L,P/VP,ROE, LPA, VPA
SNSY3,-0.39,-0.04,-9.65,-19.56,-202.81
SNSY5,-0.16,-0.02,-9.65,-19.56,-202.81
SNSY6,-0.68,-0.07,-9.65,-19.56,-202.81
SOJA3,12.85,2.33,18.12,1.01,5.57
SOMA3,27.51,1.43,5.19,0.48,9.31
SOND3,7.18,1.74,24.24,6.41,26.45
SOND5,5.72,1.39,24.24,6.41,26.45
SOND6,6.71,1.63,24.24,6.41,26.45
SPRT3B,-219.96,-93.02,-42.29,-0.35,-0.82
SQIA3,58.39,2.14,3.67,0.33,8.87
STBP3,20.0,3.2,16.01,0.44,2.73
STKF3,0.0,0.0,8.33,0.56,6.68
STTR3,0.0,0.0,32.1,0.94,2.91
SULA11,25.24,1.26,4.98,0.97,19.45
SULA3,25.7,1.28,4.98,0.32,6.48
SULA4,24.77,1.23,4.98,0.32,6.48
SUZB3,5.05,2.48,49.16,8.69,17.68
SYNE3,0.56,0.45,79.85,8.07,10.11
TAEE11,6.9,2.01,29.13,6.05,20.77
TAEE3,6.92,2.02,29.13,2.02,6.92
TAEE4,6.89,2.01,29.13,2.02,6.92
TASA3,3.22,2.32,72.2,5.52,7.64
TASA4,3.08,2.23,72.2,5.52,7.64
TCNO3,-7.96,-8.89,-111.63,-0.16,-0.14
TCNO4,-6.39,-7.14,-111.63,-0.16,-0.14
TCSA3,-1.72,0.36,-20.98,-1.64,7.79
TECN3,5.39,0.55,10.15,0.46,4.52
TEKA3,-0.04,0.0,-5.26,-192.71,-3661.67
TEKA4,-0.09,0.0,-5.26,-192.71,-3661.67
TELB3,-7.43,0.98,-13.26,-2.57,19.4
TELB4,-4.36,0.58,-13.26,-2.57,19.4
TEND3,-2.57,0.76,-29.7,-2.96,9.98
TESA3,-13.3,1.62,-12.18,-3.61,29.64
TFCO4,106.48,32.74,30.74,0.1,0.32
TGMA3,11.2,1.79,15.95,1.71,10.72
TIET11,4.38,2.25,51.45,2.87,5.57
TIET3,6.09,3.13,51.45,0.57,1.11
TIET4,6.13,3.15,51.45,0.57,1.11
TIMS3,11.14,1.18,10.63,1.11,10.46
TKNO3,2.99,0.81,26.96,23.31,86.45
TKNO4,2.96,0.8,26.96,23.31,86.45
TOTS3,43.2,4.1,9.49,0.67,7.02
TOYB3,-43.94,-4.97,-11.31,-0.05,-0.46
TOYB4,-47.96,-5.43,-11.31,-0.05,-0.46
TPIS3,1.58,0.23,14.52,0.81,5.59
TRAD3,-1364.62,2.09,-0.15,0.0,2.09
TRIS3,11.26,0.74,6.54,0.43,6.6
TRPL3,7.35,1.33,18.13,4.29,23.68
TRPL4,5.47,0.99,18.13,4.29,23.68
TTEN3,12.49,2.29,18.3,0.89,4.88
TUPY3,8.96,1.37,15.23,3.09,20.27
TXRX3,-3.93,-0.29,-7.35,-5.84,-79.51
TXRX4,-0.75,-0.06,-7.35,-5.84,-79.51
UCAS3,5.14,1.02,19.91,0.57,2.85
UGPA3,8.96,1.37,15.26,1.48,9.72
UNIP3,3.81,2.89,75.83,23.51,31.0
UNIP5,4.17,3.16,75.83,23.51,31.0
UNIP6,4.21,3.19,75.83,23.51,31.0
USIM3,1.66,0.42,25.44,4.83,18.98
USIM5,1.68,0.43,25.44,4.83,18.98
USIM6,3.33,0.85,25.44,4.83,18.98
VALE3,2.97,1.66,55.74,21.69,38.91
VAMO3,28.15,4.82,17.13,0.51,2.95
VBBR3,8.02,1.63,20.32,2.28,11.22
VIIA3,-8.31,0.86,-10.38,-0.37,3.53
VITT3,14.12,3.51,24.89,0.84,3.38
VIVA3,17.57,4.39,25.01,1.47,5.9
VIVR3,-1.64,-0.03,-1.98,-0.35,-17.9
VIVT3,12.93,1.04,8.04,3.26,40.57
VIVT4,13.9,1.12,8.04,3.26,40.57
VLID3,14.01,0.7,4.97,0.73,14.61
VSPT3,-1.37,0.17,-12.45,-3.64,29.2
VSPT4,0.0,0.0,-12.45,-3.64,29.2
VULC3,9.8,2.37,24.18,1.49,6.15
VVEO3,17.53,2.24,12.79,1.0,7.8
WEGE3,35.71,9.43,26.42,0.84,3.2
WEST3,-4.32,0.53,-12.35,-0.41,3.28
WHRL3,9.64,3.44,35.69,0.54,1.53
WHRL4,10.56,3.77,35.69,0.54,1.53
WIZS3,9.99,3.28,32.89,0.79,2.39
WLMM3,7.92,1.39,17.5,2.78,15.87
WLMM4,10.5,1.84,17.5,2.78,15.87
YDUQ3,348.0,1.2,0.35,0.04,10.15
